"State","Year","Overdose_Rate","AVG_AGE","bachelors_percent","median_income","PDMP","poverty_rate","unemp_rate","WHITE_PCT"
"Arkansas",2001,1.1,36.4536639214812,12.4491387184179,51143,0,17.8,6.75754597381878,80.7795904215835
"Arkansas",2002,3.5,36.6136569050215,13.4346825466301,48911,0,19.8,7.36401346288961,79.9627633349591
"Arkansas",2003,3.6,36.7109370608476,12.9186106478168,47257,0,17.8,7.5724942436285,79.3816206493145
"Arkansas",2004,4.8,36.9041749051482,12.4861900814429,50301,0,15.1,7.51775387700718,79.6177219668022
"Arkansas",2005,4.6,36.9929983875547,12.8642706978418,50981,0,13.8,6.71488467232475,78.7477478647624
"Arkansas",2006,5.3,37.4257757023443,12.8026818723869,49918,0,17.7,6.94929868850075,78.4885615566984
"Arkansas",2007,5.5,37.4103743583756,13.2766120466474,53438,0,13.8,7.26539180146046,78.7878990982423
"Arkansas",2008,7.3,37.5552124228214,13.0209533548832,49936,0,15.3,6.60733337775763,78.5594262079786
"Arkansas",2009,7.6,37.5123300282061,12.9053626122619,46252,0,18.9,9.1488364625685,78.420806727924
"Arkansas",2010,6.8,37.7307604105413,13.4420246946371,48053,0,15.3,9.77845059939735,78.3385234011705
"Arkansas",2011,6,37.9108084162617,14.1277388299916,49862,0,18.7,9.34413694187894,78.3852437338728
"Arkansas",2012,6.1,37.9495132633986,14.6343109207424,46128,0,20.1,8.87219814142564,78.529471902062
"Arkansas",2013,5.9,38.1030816324945,14.3226622666355,45872,1,17.1,8.08759186350741,77.8182067620405
"Arkansas",2014,6,38.3187823227656,14.9656364397012,51461,1,18.4,6.63384028325598,78.3776057530267
"Arkansas",2015,7,38.4466131265689,15.0117990574185,48944,1,16.1,5.91988259545382,77.5025485158169
"Arkansas",2016,5.9,38.5237266117136,15.4828180258131,51830,1,16,5.12232387943222,76.62985133764
"Arkansas",2017,6.7,38.6475869917541,16.4365227064464,54988,1,14.8,5.57072507574717,76.3033659656776
"Arkansas",2018,7.2,38.765450216917,16.3937521256211,53712,1,15.9,4.54279339748465,76.4411005947591
"Arkansas",2019,6.9,39.1118551768107,16.5078315225243,57799,1,14.1,4.82188455743356,76.7881877020509
"Arkansas",2020,9.6,39.2179983302757,17.6157568478889,53148,1,14.1,6.2489021893533,70.895023864081
"California",2000,3.3,33.9974700978942,17.7005258038862,73862,1,12.7,5.76468827379736,67.4669495326132
"California",2001,1.8,33.8251616727065,18.1363253353405,72501,1,12.6,6.8307975999981,66.2918428161389
"California",2002,4.5,34.2861802919551,18.6474196640425,71640,1,13.1,8.06888041496133,63.3257008932216
"California",2003,4.3,34.6509598389748,19.1810021033925,72801,1,13.1,8.45331408581058,66.1785277430256
"California",2004,4.3,34.6769888218955,19.333392759726,70773,1,13.2,7.57418102160709,63.0169457924331
"California",2005,4.1,34.7697697880673,19.4046382845142,71977,1,13.2,7.12673096696186,60.8478879483707
"California",2006,4.4,35.0408177466894,19.2014553693667,74518,1,12.2,6.51033462688449,59.8579158461804
"California",2007,4.9,35.3037031352782,19.6205559483619,73007,1,12.7,6.60953300524829,60.2047726855216
"California",2008,5.2,35.5710201246217,19.8324815422596,71921,1,14.6,7.45906623375094,62.4877675249436
"California",2009,5.8,35.6558073521798,20.0035555758529,71058,1,15.3,11.2089886674636,62.769157254392
"California",2010,5.5,36.0216419219787,20.2323450603428,67600,1,16.3,12.6897817705757,62.471705340731
"California",2011,5.5,36.2462918039286,20.5488779661801,64428,1,16.9,12.2923168745919,62.9093026641896
"California",2012,4.9,36.4771529882026,21.1184253588785,67410,1,15.9,11.2101923444128,62.0714547271225
"California",2013,5.4,36.7382400442695,21.3630248842752,70823,1,14.9,9.93487316934728,61.9982103446836
"California",2014,5.6,36.9808229882095,21.9469441401972,69292,1,15.8,8.43074819401445,61.4388660524451
"California",2015,5.4,37.2437464136377,22.4763798876265,72774,1,13.9,7.15158605396414,60.7815828904863
"California",2016,5.5,37.4477205194586,23.0899721648528,75235,1,13.9,6.44006684492994,59.6236353222471
"California",2017,5.9,37.651116572766,23.7677933941449,77410,1,12.4,5.8937322640007,58.7516070214644
"California",2018,6.4,37.8596239683728,24.3887858660828,76055,1,11.9,5.5111954144505,59.4658625284068
"California",2019,8.5,38.1221088218701,24.9605444877146,82772,1,10.1,5.08230757011064,59.4690761894111
"California",2020,14.4,38.3951634593465,26.6520892927469,81278,1,11.1,8.06885631829852,42.3089206709568
"Colorado",2000,4.3,33.9943972414436,22.7622571967279,76108,0,9.8,4.49145418528515,84.9669081996521
"Colorado",2001,4.6,34.3562169909362,22.5524969847434,75776,0,8.7,5.04663177368651,85.1847765928945
"Colorado",2002,4.6,34.7033051378411,22.5336702955429,72935,0,9.8,6.96728599396396,82.8971770975
"Colorado",2003,5.1,34.749467388147,23.5569119034365,73746,0,9.7,6.91425555200039,83.763994269645
"Colorado",2004,5.1,34.7487044334351,22.5787248552942,73166,0,10,7.08766827516497,83.4840576346788
"Colorado",2005,6.7,35.0185570797414,24.118147247557,70161,0,11.4,6.26114555239862,83.225334583965
"Colorado",2006,7.1,35.5797314204196,23.5915434437454,75027,0,9.7,5.29133903007026,82.7545132649904
"Colorado",2007,7.7,35.7875466804072,24.0013041202177,80089,1,9.8,5.36027555637945,83.8014487253459
"Colorado",2008,7.5,35.9182037455137,24.479416356781,76877,1,11,4.76952056141046,84.9412566889957
"Colorado",2009,8.3,35.9625240907604,24.7006616053183,70800,1,12.3,8.47228119548253,84.451697876192
"Colorado",2010,6.5,36.3310717951877,25.2351571209832,75009,1,12.3,9.90613204966906,83.3618699360734
"Colorado",2011,8.3,36.5958521699907,25.4172923837495,70781,1,13.2,9.14451642689655,84.4506210527056
"Colorado",2012,8,36.7673444005319,26.0385474388646,67688,1,11.9,7.61704197183917,84.2658872669386
"Colorado",2013,8.4,36.9823603784626,26.2348465852891,79115,1,10.6,6.91349178503906,83.7029766529173
"Colorado",2014,9.9,37.1873801547686,26.591329954857,69811,1,12.3,5.44268571886535,84.3651614883569
"Colorado",2015,9.4,37.3047897820134,27.6337680016802,76159,1,9.9,5.1834786454899,84.4418127565025
"Colorado",2016,10.1,37.5256625476375,28.1239300465929,79671,1,8.5,4.68288407422897,84.1925839425544
"Colorado",2017,10.7,37.7888923685706,29.3449225756953,82877,1,7.7,4.20000768468813,84.1668161780468
"Colorado",2018,10.6,37.9398382671145,30.1182990832866,78801,1,9.1,3.91941929799921,84.0013210280843
"Colorado",2019,11.7,38.2304755765849,30.8488529427291,76832,1,9.3,3.6912329343522,83.887887897622
"Colorado",2020,17.4,38.5006067166289,32.226494901512,87689,1,9.5,6.38933177902188,71.8476244975628
"Connecticut",2000,5.1,37.1026832568391,23.3988263938167,79156,0,7.7,4.71123019237741,85.2338926588001
"Connecticut",2001,4.6,37.5622171689933,23.2370382719284,81836,0,7.3,5.22193920254808,83.1746470067055
"Connecticut",2002,5,37.172185849517,22.9222960620473,80626,0,8.3,6.14791791752409,81.9156236148815
"Connecticut",2003,4.8,37.568296363268,24.5687567278637,81166,0,8.1,6.97878208585271,81.4812408842916
"Connecticut",2004,5.6,37.7487687650299,24.5978516487618,79225,0,10.1,6.40306777429,80.0878482057588
"Connecticut",2005,5,37.9895685026419,24.9381419040172,79042,0,9.3,6.2855974401344,81.4112559154404
"Connecticut",2006,6.8,38.228061500641,23.9473249469515,84062,0,8,6.23396117042995,80.0691564076673
"Connecticut",2007,7.1,38.2292973007236,24.5275331217206,84019,0,8.9,6.17190452156404,79.5045211601832
"Connecticut",2008,6.6,38.3330057362338,25.310317566402,81594,1,8.1,6.36798834912527,80.2964482419432
"Connecticut",2009,6.2,38.4632409285425,25.2461424420059,82092,1,8.4,9.26980298840782,79.0945482575616
"Connecticut",2010,6.3,38.8667835406211,25.3084015897914,82189,1,8.6,10.5513655362584,78.2405614870035
"Connecticut",2011,5.9,39.0824490345348,25.9177721507109,78973,1,10.1,10.2321188093954,77.6146567621105
"Connecticut",2012,5.6,39.2737462423548,26.6426058539746,75954,1,10.3,9.94358595758764,78.0688329011096
"Connecticut",2013,12.3,39.4469177548887,27.0439478543303,80721,1,11.3,9.17641191617559,77.3416053035528
"Connecticut",2014,14.8,39.6667262587105,27.4904307503843,80374,1,8.6,7.90859877648692,76.872958010964
"Connecticut",2015,19.3,39.84178361552,27.8129687213685,83355,1,9.1,6.89518930005631,76.5777025502898
"Connecticut",2016,24.3,40.0867356810604,28.4001015531594,85720,1,9.8,6.29952576068958,76.7318840012392
"Connecticut",2017,26.9,40.3835243677582,28.3897369811582,82125,1,10.9,6.1379252099852,76.0805465940431
"Connecticut",2018,26.9,40.562907241513,29.2589985347073,78561,1,10.2,5.44589122688242,75.3627894023089
"Connecticut",2019,31.4,40.7061198719766,29.6865862411638,92507,1,8.3,5.47414017171089,74.8905768315426
"Connecticut",2020,35.5,40.9351915020492,31.6357814129225,83141,1,11.2,7.16543497901922,67.9812481786375
"Delaware",2000,4.6,36.3028485321137,17.7173410175406,79461,0,8.4,3.6227205084874,75.9312915548623
"Delaware",2001,5,36.3261074677934,17.3858835117551,76091,0,6.7,4.44338770032839,75.8184504523186
"Delaware",2002,6.7,36.7660878447395,17.4024987823134,74982,0,9.1,6.14568794469799,75.2026601177928
"Delaware",2003,5.6,36.7675364103703,19.0933937670191,72386,0,7.3,6.19725137203426,75.4673221500731
"Delaware",2004,4.6,37.1827367302318,19.628864904193,69087,0,9,6.9867923601905,74.5101009285827
"Delaware",2005,3.9,37.2952090484715,19.4845433249596,71254,0,9.2,6.13161801543418,73.7058471556375
"Delaware",2006,4.9,37.4126173436629,19.3878913994067,70637,0,9.3,5.74294927573322,71.1730616912485
"Delaware",2007,6,37.7030577128558,18.0212173494734,71507,0,9.3,5.48582688068792,72.4565314929854
"Delaware",2008,7.7,37.5935147727845,18.5013721348953,63959,0,9.6,6.92325684139401,72.2973065839568
"Delaware",2009,10.4,38.0632409995458,20.0006326811445,65969,0,12.3,8.8055275385557,72.1622555986632
"Delaware",2010,12.9,38.2920560721696,19.348743955393,68759,0,12.2,9.3650814440326,70.2693691380788
"Delaware",2011,12.7,38.6833084381046,19.9896377055234,65989,0,13.7,8.96543755695369,70.1213160113985
"Delaware",2012,9.4,38.8294947507993,21.1196913722942,57896,1,13.5,8.23256742747404,69.5225778874966
"Delaware",2013,12.4,39.0755042673554,21.494163104686,63014,1,14,9.28141214228403,69.0250813125372
"Delaware",2014,13.4,39.2664410750587,21.4902726979288,65895,1,11,7.0260664003722,68.6351422702097
"Delaware",2015,14.6,39.6424739992431,22.5861423735694,66049,1,11.1,5.63233621652077,69.6440766480537
"Delaware",2016,16.7,40.0124718375321,23.0120842589529,65536,1,11.6,5.68795759181486,69.1928597312158
"Delaware",2017,26.6,40.2927493323381,23.1841104269605,71799,1,9.2,5.51872914594076,68.7283705099804
"Delaware",2018,37,40.696550041306,22.6683802554047,70145,1,7.4,5.58035534588663,68.3528559065563
"Delaware",2019,40.1,40.9493111267206,24.8188472771637,78628,1,6.5,4.3232617990962,67.6540722392695
"Delaware",2020,41.9,41.3734079419894,25.3645435170972,73292,1,10.5,6.72315227810213,62.1827797165574
"District of Columbia",2000,7.5,37.4350841623569,30.692294328658,65036,0,15.2,7.5589538621948,31.0630401539492
"District of Columbia",2001,8.4,36.7567784283743,31.7603401335173,63154,0,18.2,7.69945149999329,29.2897102151941
"District of Columbia",2002,5.1,37.1630597126385,31.8877512919318,59004,0,17,10.1111401543852,29.279990739911
"District of Columbia",2003,10.6,37.2214316919428,33.2452024457267,66516,0,16.8,11.144055146959,30.4913958911338
"District of Columbia",2004,9.3,37.2607600458622,36.7202368773573,62475,0,17,8.81177079461895,33.137737080031
"District of Columbia",2005,7.9,37.0401319773798,34.5294274950253,62573,0,21.3,9.37971722991529,31.8753293535625
"District of Columbia",2006,10.9,36.999867590666,34.3234226953038,65302,0,18.3,8.47362096944021,34.7502278472306
"District of Columbia",2007,5,36.6396211405221,35.7699917727931,66521,0,18,7.41996914990509,35.132723205483
"District of Columbia",2008,5.7,36.9993528579853,35.8901919967288,70125,0,16.5,7.23408980414989,37.6991482394527
"District of Columbia",2010,6,36.8029822004358,38.6173945699666,70893,0,19.5,12.8785922878764,40.5038936029766
"District of Columbia",2011,9.2,36.6563618534748,39.6785739713526,66702,0,19.9,11.2241695669506,39.9983171412113
"District of Columbia",2012,7.1,36.5635126351564,40.5971315292975,77135,0,18.4,10.1553276319254,39.379241305472
"District of Columbia",2013,9.3,36.5766317219146,41.4335856347523,69964,0,21.3,10.3801295200455,40.8831941885593
"District of Columbia",2014,9.9,36.5852968539657,41.7538204230429,78216,0,19,8.55483553865456,39.8812857322813
"District of Columbia",2015,14.9,36.4452968338123,43.1030840726658,80133,0,16.6,7.23217269430853,39.804054576721
"District of Columbia",2016,31.3,36.5089331591233,42.971358104438,80141,0,16.3,6.7247624280162,40.8478059808858
"District of Columbia",2017,35.4,36.612596761829,43.2654343402904,89838,0,13.6,5.89198639686626,41.2188099808061
"District of Columbia",2018,27.3,36.6371753350748,45.7414353944381,92521,0,14.7,7.65877687290131,42.321429842481
"District of Columbia",2019,35,36.7484091369595,45.3097347640592,98675,0,12.5,6.45829260699262,42.1209240112278
"District of Columbia",2020,47.7,37.3086251086748,48.670356904942,92337,0,16.8,9.54137013873913,38.5661420167783
"Florida",2000,3.6,38.9646213328261,16.4544666889714,61303,0,11,5.08769491245043,79.1405523989221
"Florida",2001,5.4,38.7746767030138,16.875728097152,55871,0,12.7,6.32775924251049,78.4882174683383
"Florida",2002,6,38.8081249923894,16.9730862526031,57425,0,12.6,7.03993890801873,77.5541337868982
"Florida",2003,6.4,38.8449471403342,17.6928880567844,57549,0,12.7,7.26939986277832,76.956341614946
"Florida",2004,7.2,38.9900537013793,17.943307642886,58283,0,11.6,7.08483896553307,77.5565562829552
"Florida",2005,6.5,39.0416897872815,17.7834756315391,59787,0,11.1,6.29276877294219,76.7050746752426
"Florida",2006,7.3,39.4458493913368,18.0929578948771,61528,0,11.5,5.42728661970216,76.1755752066804
"Florida",2007,8.3,39.6183651162828,18.4495981999692,59986,0,12.5,6.20573749186341,76.2905573061517
"Florida",2008,8.2,39.8600129635308,18.5480518148397,56585,0,13.1,7.46484511457291,77.534042908414
"Florida",2009,8.9,39.7633414965793,18.1919227505451,57763,0,14.6,11.9833708564421,76.9018224164686
"Florida",2010,9.2,40.1243096362075,18.6606653199122,54876,0,16,13.1937098067508,76.4694194644831
"Florida",2011,8.6,40.3294260088735,18.7272209606045,54454,1,14.9,12.3479409792259,76.2434368503556
"Florida",2012,7.2,40.5346313262622,19.4597684346187,54466,1,15.3,11.5062922318744,76.3071521218406
"Florida",2013,6.8,40.7436180180291,19.8455162058134,56538,1,14.9,9.6718759699514,76.1237895632659
"Florida",2014,7.3,40.9893234892135,20.0117707989782,52856,1,16.7,7.98742466963111,75.9866803376032
"Florida",2015,9.3,41.1817167664664,21.0419208029965,55836,1,16.2,6.98934013275499,75.7937045095148
"Florida",2016,13.8,41.3991682401098,21.178983234347,57779,1,13,6.01132202953736,75.4697345617372
"Florida",2017,15.8,41.5211612435905,21.9435628371552,58674,1,13.7,5.50090366382715,75.1811297916548
"Florida",2018,15.3,41.7298948206105,22.6737889581008,58959,1,13.7,5.23600709728263,74.6366938858391
"Florida",2019,17.9,41.9713168570786,23.0132532119189,61856,1,11.5,4.53878642107873,74.5207793539887
"Florida",2020,25.6,42.2385587778593,25.388765439219,60460,1,13.3,6.3425245645727,58.5097909527086
"Georgia",2000,1.6,33.9750929319408,15.0843147182714,66107,0,12.1,4.84043239249437,66.6488964748618
"Georgia",2001,2.4,33.7121309170385,16.1765170908273,65313,0,12.9,5.81531373699457,66.1188380154378
"Georgia",2002,2.6,33.9738463670067,16.0967848909011,64847,0,11.2,6.53494290465824,65.2433189552186
"Georgia",2003,2.9,34.089194793991,17.0203147163488,62668,0,11.9,7.39542834236936,66.1405001475344
"Georgia",2004,3.1,34.2254250343257,16.8895355375979,58928,0,13,7.27516402443921,63.6433055367366
"Georgia",2005,3.5,34.4030749980026,18.0409044936884,63871,0,14.4,7.26194256006348,62.5609080162984
"Georgia",2006,3.8,34.7485055704644,17.5984769660552,66469,0,12.6,6.67979871402264,62.1672434715255
"Georgia",2007,4.3,34.85411425129,17.8732077843841,63716,0,13.6,6.97660873575345,62.1085937295372
"Georgia",2008,4.4,35.0326380709628,18.2203556071686,58314,0,15.5,6.96912962321429,62.0997209920064
"Georgia",2009,5.2,35.0414779985901,18.3346862733947,54862,0,18.4,10.9573535566781,61.813252355657
"Georgia",2010,5.7,35.6028409320812,18.2264725144804,54940,0,18.8,12.4788562586408,60.70597874696
"Georgia",2011,5.6,35.7965608479085,18.5134907964272,55501,0,18.4,11.7926232520597,60.7504678962549
"Georgia",2012,5.6,36.086592718004,19.0448132524928,56890,0,18.1,10.7105699936201,60.5457086707638
"Georgia",2013,5.4,36.3083246106675,19.2757286782737,54744,1,16.3,10.1298796034557,60.4233195862319
"Georgia",2014,7.2,36.5693711702177,19.7486110950178,56768,1,16.8,8.27246111500081,59.8671353444168
"Georgia",2015,8.6,36.763440908637,20.290645197291,58058,1,18.1,6.93650945163314,59.5179767515169
"Georgia",2016,9.2,36.9994499712959,21.009282789145,60434,1,15.4,5.95357441421786,58.8128981973588
"Georgia",2017,10.1,37.2536890259717,21.3725285081691,64089,1,13.3,5.80155846641102,58.693120654643
"Georgia",2018,8.6,37.4479614239304,22.2396745084712,60229,1,14.8,4.81122871226797,58.2527930338729
"Georgia",2019,8.5,37.7066932343187,22.6013977214622,60012,1,12.1,4.88898953931187,57.7813090803672
"Georgia",2020,12.5,37.9612635037466,24.4386165561005,62033,1,13.3,6.70789954721858,52.385063408249
"Hawaii",2000,2.6,36.8953176735517,19.3320095718141,81324,1,8.9,5.79128299369019,24.1861078490044
"Hawaii",2001,3.2,36.7315758256458,18.0392305330153,72773,1,11.4,5.75370371903906,24.6664395115323
"Hawaii",2002,3.9,37.1319463119458,19.4632849470062,71438,1,11.3,6.03273172322706,24.5031802915426
"Hawaii",2003,3.8,37.3985170453848,19.5565049083997,76542,1,9.3,6.21187966466002,24.2785532190018
"Hawaii",2004,5,37.735253559879,20.3596064573336,80867,1,8.6,5.14239535332251,25.2158095138744
"Hawaii",2005,5.8,37.7033335770042,19.3764461338961,82868,1,8.6,4.40229603651453,24.5640144676956
"Hawaii",2006,5.1,37.8814918420721,20.4068773346983,81457,1,9.2,4.19367182634663,26.2305347810732
"Hawaii",2007,6.2,38.3814863470751,20.5680589190486,83863,1,7.5,4.38605979158733,27.3903137632579
"Hawaii",2008,4.4,38.2949515524787,20.441345196934,77606,1,9.9,3.88832345087455,26.8496768353933
"Hawaii",2009,4.4,38.3842931241883,21.3353685748214,70444,1,12.5,6.79693337972813,26.8133800913851
"Hawaii",2010,5.7,38.7075683052696,20.5055510292083,74145,1,12.4,7.60754184964027,24.8401131986087
"Hawaii",2011,5.7,38.7815210829133,20.9115441406449,71285,1,12.1,6.71992304837416,24.7042864104858
"Hawaii",2012,4.6,38.8469934562128,21.3993548864372,66515,1,13.8,6.84616814592784,25.08372758137
"Hawaii",2013,5,38.8441049988106,22.3630287723976,74831,1,11.1,5.16849286747984,25.4638354365288
"Hawaii",2014,4.4,39.0283728561154,22.4467282490855,81591,1,10.8,4.79617726430095,25.4962625769516
"Hawaii",2015,4.5,39.0553470480294,22.5001624053596,73778,1,10.9,4.56006700701978,26.1044437598971
"Hawaii",2016,5.7,39.5690700476075,23.9704821018692,81440,1,9.3,3.99554656298206,25.1268237809202
"Hawaii",2017,3.9,39.8299428806799,23.6949909564579,81346,1,10.3,3.60316871393673,24.8783570034563
"Hawaii",2018,4.3,40.1532195557733,24.2609069680836,86433,1,9.2,3.42677216599474,24.3375002023948
"Hawaii",2019,4,40.3952256983682,23.9790743796049,93265,1,8.4,3.50865216786062,23.8979936039416
"Hawaii",2020,5.3,40.6246831119437,25.7798109110327,84600,1,10.9,6.90054239653085,22.0608055809224
"Idaho",2000,2.2,34.7658641691926,14.2949677386897,59339,1,12.5,5.21457487298525,93.6003276441068
"Idaho",2001,3.9,34.327616611813,14.1875250098488,58663,1,11.5,6.7236695946009,92.111699801162
"Idaho",2002,3.4,34.7710353736089,14.612556561086,56958,1,11.3,6.80497344990142,91.6080163874282
"Idaho",2003,4,34.8715207794984,15.5136836025548,62570,1,10.2,6.84702161867684,92.3546597757967
"Idaho",2004,3.4,35.0478961174927,15.2398408413177,63780,1,9.9,6.09669865061736,92.252630588346
"Idaho",2005,3.6,35.2272963475668,15.4290277925674,61437,1,9.9,5.79805298981137,91.1581301245874
"Idaho",2006,4.8,35.2843572809443,15.4099825089586,62252,1,9.5,5.13729130764598,92.4045919950357
"Idaho",2007,4.3,35.4422563128501,16.030991021754,64427,1,9.9,5.27049711902087,92.0704387482476
"Idaho",2008,4.9,35.4213218656321,15.8254014920437,59818,1,12.2,5.63061262901151,92.7846931650541
"Idaho",2009,4.2,35.5218330173159,15.58020728412,59215,1,13.7,9.73709041114613,92.4675944704396
"Idaho",2010,5.2,35.8173801266346,16.0257087403354,58592,1,13.8,9.63707664320594,92.3538133570906
"Idaho",2011,5,36.0391675631,16.6469714224425,57295,1,15.7,9.53749435198556,92.7606254948785
"Idaho",2012,3.8,36.415981921731,16.9450557989833,56654,1,14.4,7.72724689789129,91.5647278232882
