"State","Year","median_income"
"Wisconsin",2007,67.168
"Wisconsin",2006,69.632
"Wisconsin",2005,62.096
"Wisconsin",2004,65.755
"Wisconsin",2003,68.325
"Wisconsin",2002,69.324
"Wisconsin",2001,69.562
"Wisconsin",2000,71.135
"Wyoming",2020,68.506
"Wyoming",2019,69.027
"Wyoming",2018,67.477
"Wyoming",2017,65.803
"Wyoming",2016,65.291
"Wyoming",2015,69.673
"Wyoming",2014,63.796
"Wyoming",2013,78.566
"Wyoming",2012,67.992
"Wyoming",2011,65.807
"Wyoming",2010,65.007
"Wyoming",2009,66.42
"Wyoming",2008,67.283
"Wyoming",2007,63.85
"Wyoming",2006,63.367
"Wyoming",2005,62.191
"Wyoming",2004,65.274
"Wyoming",2003,62.84
"Wyoming",2002,60.051
"Wyoming",2001,60.93
"Wyoming",2000,62.523
