"state","year","methadone_rate","avg_age","bachelors_pct","median_income","PDMP","unemp_rate","white_pct","personal_health_care"
"New Mexico",2016,2.11435285185354,38.6327354680288,18.7519551757195,54.703,1,7.60574451690309,73.3069199405098,7.717
"New Mexico",2015,1.67856932179565,38.2439762141931,17.9767580495792,51.598,1,7.14960124379205,73.4442180240937,7.418
"New Mexico",2014,2.20562991831498,37.9946259347555,17.9008924170443,53.482,1,8.53729169088517,72.5554428233597,7.01
"New Mexico",2013,1.58251597981477,37.7232294643375,17.7251380745192,46.792,1,9.61324041450455,75.0395509107379,6.697
"New Mexico",2012,1.77412255254999,37.4446353890459,17.6596158880826,51.337,1,10.1358845236396,72.3904335476026,6.679
"New Mexico",2011,1.53681832502171,37.2208479971415,17.1235179308278,50.683,1,10.9165567035725,71.8089408248104,6.514
"New Mexico",2010,1.45689131445105,37.1573493222429,16.5228090760006,56.206,1,9.51689883817907,73.4757000714447,6.43
"New Mexico",2009,1.17831777462905,36.5267698046098,16.9273478096664,55.118,1,9.26702041922679,72.3615457455474,6.264
"New Mexico",2008,2.63594776247823,36.5923483487842,16.4313258306473,53.11,1,5.79954277463602,73.3779120278821,5.997
"New Mexico",2007,2.66322290170698,36.5204986001934,16.2132376270042,58.103,1,5.88331951728446,69.0293236002569,5.702
"New Mexico",2006,2.95596077134267,35.9953688710574,16.5295797245368,53.92,1,6.67804886304975,67.9467757836774,5.369
"New Mexico",2005,1.50082234714124,36.2624146102187,16.6253354243638,54.165,1,7.31906985926434,68.9773472285454,5.105
"New Mexico",2004,2.31115742763976,35.9431849533564,15.5917524528822,56.884,0,7.48601170827146,70.6894043246599,4.671
"New Mexico",2003,1.97062805513924,35.682527700571,15.3444754239239,51.839,0,7.66146060433354,70.2083958078106,4.287
"New Mexico",2002,1.77867945447362,35.4967979432236,16.7378570053323,53.548,0,8.17881541297369,69.8639146439999,4.042
"New Mexico",2001,1.47404855625133,35.2460774538104,15.0710157682149,50.813,0,7.26939474928184,66.5136533199865,3.732
"New Mexico",2000,1.42932064389796,34.8056019908648,14.7409870147479,55.366,0,8.26282729801671,69.2898363637904,3.463
"New York",2020,2.27028538780198,40.109384226066,29.5167833652677,71.865,1,8.22736473474554,56.3807508288709,14.007
"New York",2019,1.51643187589151,39.8645752312392,28.311567224119,76.149,1,4.49232505529448,63.3148450301721,12.932
"New York",2018,1.39697615556153,39.6216608368071,27.6930514866564,72.586,1,4.92772318919994,63.2694952755853,12.098
"New York",2017,1.46603934960449,39.347849725828,26.8428076840009,68.021,1,5.46028516068695,63.1416951213485,11.558
"New York",2016,1.54467225068218,39.0569346440055,26.2024475812939,69.364,1,5.98148472535887,63.4691647207595,10.927
"New York",2015,1.30835893347227,38.8628090183413,25.7991812501961,66.334,1,6.52948138874791,63.8662026690421,10.305
"New York",2014,1.23567909960723,38.6977667176621,25.3483108443957,62.216,1,7.12376931465705,64.0850325482433,9.805
"New York",2013,1.44520973275477,38.549610767871,24.6268827228077,58.209,1,8.59287328449505,64.6329139290586,9.371
"New York",2012,1.73732992114924,38.3909083787896,24.2591603658224,56.368,1,9.24147214387019,65.3407330643163,9.085
"New York",2011,1.59258598821271,38.2236838907924,23.8992032806038,61.131,1,9.57345263348008,65.2662492961155,8.991
"New York",2010,1.38300438298859,38.0739920101207,23.4784011763855,61.993,1,9.84380836840177,65.9279776393527,8.759
"New York",2009,1.29486272020824,37.9237856059117,23.188679981985,63.567,1,9.0586345183145,67.4008222418261,8.506
"New York",2008,1.54587372470623,37.8154273893312,22.7895141874954,63.655,1,6.19957447621503,67.3282762186743,8.059
"New York",2007,1.58370632753399,37.5903766707471,22.4909988113109,64.112,1,6.16712741564056,66.0644731823107,7.841
"New York",2006,1.67498655169001,37.3626205656499,22.0181430995448,64.958,1,6.5004522359034,66.3325837116534,7.485
"New York",2005,0.966935509582853,37.1876471120756,22.2135185474376,65.609,1,7.11047296673092,67.1820132017353,7.051
"New York",2004,0.761544426702314,36.966520581485,21.5098663627898,64.198,1,7.32678544318313,67.7129707233593,6.72
"New York",2003,0.808304615487148,36.9343782707043,21.0804352228445,63.184,1,7.46456943629074,68.6612812417195,6.331
"New York",2002,0.757662845259121,36.6896158024457,20.7691884257728,63.378,1,7.78188678615255,68.5746951260646,5.828
"New York",2001,0.717922564767358,36.4933379302404,19.5907135748695,64.604,1,6.48764705398085,69.3541264159214,5.419
"New York",2000,0.526968759236774,35.8727405828234,19.6231176496116,64.282,1,5.86440700295089,70.0215954953782,5.024
"North Carolina",2020,0.981055904810409,39.5036357946646,25.0998842104808,63.252,1,6.3196504404005,63.5081629072215,8.917
"North Carolina",2019,0.772305027305273,39.2897571186501,23.0874390403433,64.814,1,4.48269408748549,68.0971090620556,8.619
"North Carolina",2018,0.741552560667667,39.1011949589835,22.8689609211431,57.583,1,4.83950154889938,68.2214198901732,8.285
"North Carolina",2017,1.02205507241552,38.8613637777258,22.3318838645635,54.762,1,5.25603887282801,68.8176351027832,8.105
"North Carolina",2016,1.21220626665305,38.6922447773621,21.658055731528,60.701,1,6.22174724818371,68.889485027183,7.886
"North Carolina",2015,1.09531184623574,38.4266911764267,20.8293263174959,58.091,1,6.74972844440036,68.9540130334144,7.594
"North Carolina",2014,1.32743843400881,38.2079752098861,20.156478844855,53.594,1,8.08453475650531,69.0729572230953,7.194
"North Carolina",2013,1.66530260782327,37.9610066348093,19.7943757450706,53.981,1,9.57115750452985,69.1793409057215,6.913
"North Carolina",2012,1.88677832907937,37.7428079137636,19.020602081219,49.125,1,10.4705818147947,69.9545112100781,6.968
"North Carolina",2011,2.12294414865331,37.4851288797969,18.5107060073417,54.575,1,11.3484882974981,70.0813791805042,6.705
"North Carolina",2010,2.00304483789652,37.2621337443124,18.2509482241283,54.582,1,12.3459417489287,69.7259798037098,6.518
"North Carolina",2009,2.64562414824131,36.8773190245184,18.2734377698306,53.047,1,10.7730021731237,70.4846579490803,6.454
"North Carolina",2008,3.29772470959345,36.8150994956418,18.1782123422349,54.155,1,6.6686765048733,70.2572883845813,6.166
"North Carolina",2007,3.68500369103569,36.7494899035783,17.8227491084901,56.998,1,6.65525570625767,69.9471649586934,5.996
"North Carolina",2006,3.83525451175079,36.6377580095083,17.1062512808382,53.609,0,6.44788963150453,70.1701517698008,5.835
