"Year","State","unemp_rate"
2014,"Alabama",8.54300202612696
2014,"Alaska",6.68732061370774
2014,"Arizona",7.95519818036632
2014,"Arkansas",6.63384028325598
2014,"California",8.43074819401445
2014,"Colorado",5.44268571886535
2014,"Connecticut",7.90859877648692
2014,"Delaware",7.0260664003722
2014,"District of Columbia",8.55483553865456
2014,"Florida",7.98742466963111
2014,"Georgia",8.27246111500081
2014,"Hawaii",4.79617726430095
2014,"Idaho",5.50920235833981
2014,"Illinois",8.28525354359606
2014,"Indiana",7.02452668464818
2014,"Iowa",4.55909326737923
2014,"Kansas",5.39377599307771
2014,"Kentucky",7.60677966101695
2014,"Louisiana",7.41608854376463
2014,"Maine",5.78158520238443
2014,"Maryland",7.00756608086122
2014,"Massachusetts",6.81279944019849
2014,"Michigan",8.3390272033418
2014,"Minnesota",4.79278856556993
2014,"Mississippi",9.88544011810297
2014,"Missouri",6.71494497458719
2014,"Montana",5.35395632101864
2014,"Nebraska",3.67085354742752
2014,"Nevada",9.05612191555296
2014,"New Hampshire",5.39628150686301
2014,"New Jersey",7.4761840880769
2014,"New Mexico",8.53729169088517
2014,"New York",7.12376931465705
2014,"North Carolina",8.08453475650531
2014,"North Dakota",2.89972103949493
2014,"Ohio",7.19134933462513
2014,"Oklahoma",5.52516649965997
2014,"Oregon",7.61975950733081
2014,"Pennsylvania",7.0587920858509
2014,"Rhode Island",7.5941233583548
2014,"South Carolina",8.20879777247509
2014,"South Dakota",3.58977028246235
2014,"Tennessee",7.87365052416114
2014,"Texas",6.07321558936864
2014,"Utah",4.79407317642612
2014,"Vermont",5.89939121335284
2014,"Virginia",5.9123468631271
2014,"Washington",6.69782503675669
2014,"West Virginia",6.75473233064804
2014,"Wisconsin",5.36450954195304
2014,"Wyoming",4.84692509784998
2015,"Alabama",7.21438013354272
2015,"Alaska",6.87934082427185
2015,"Arizona",6.90737353638576
2015,"Arkansas",5.91988259545382
2015,"California",7.15158605396414
2015,"Colorado",5.1834786454899
2015,"Connecticut",6.89518930005631
2015,"Delaware",5.63233621652077
2015,"District of Columbia",7.23217269430853
2015,"Florida",6.98934013275499
2015,"Georgia",6.93650945163314
2015,"Hawaii",4.56006700701978
2015,"Idaho",5.23243194694968
2015,"Illinois",6.95734053029775
2015,"Indiana",6.10478376423804
2015,"Iowa",4.15093749943654
2015,"Kansas",4.64969854231855
2015,"Kentucky",6.36112975073818
2015,"Louisiana",6.98692054203224
2015,"Maine",5.08147088364296
2015,"Maryland",5.5695311980658
2015,"Massachusetts",5.70279783519067
2015,"Michigan",7.2182054162755
2015,"Minnesota",4.23166946513811
2015,"Mississippi",8.79528876256601
2015,"Missouri",5.26071642209476
2015,"Montana",4.34874409432804
2015,"Nebraska",3.31514529328458
2015,"Nevada",8.15882089603636
2015,"New Hampshire",4.38420098143802
2015,"New Jersey",6.52308954324673
2015,"New Mexico",7.14960124379205
2015,"New York",6.52948138874791
2015,"North Carolina",6.74972844440036
2015,"North Dakota",3.01859454238107
2015,"Ohio",6.38728439808501
2015,"Oklahoma",5.44521697485927
2015,"Oregon",7.01581792691809
2015,"Pennsylvania",6.30047117461168
2015,"Rhode Island",6.08715714374451
2015,"South Carolina",7.37159808931508
2015,"South Dakota",4.47749657700632
2015,"Tennessee",6.21901785572702
2015,"Texas",5.53484654421595
2015,"Utah",4.00460749605207
2015,"Vermont",3.40159331789149
2015,"Virginia",5.325714006949
2015,"Washington",5.76327327405972
2015,"West Virginia",6.85350630277812
2015,"Wisconsin",4.25614301729005
2015,"Wyoming",5.14404275866025
2016,"Alabama",6.40103227924349
2016,"Alaska",7.77210794622286
2016,"Arizona",6.60100084936015
2016,"Arkansas",5.12232387943222
2016,"California",6.44006684492994
2016,"Colorado",4.68288407422897
2016,"Connecticut",6.29952576068958
2016,"Delaware",5.68795759181486
2016,"District of Columbia",6.7247624280162
2016,"Florida",6.01132202953736
2016,"Georgia",5.95357441421786
2016,"Hawaii",3.99554656298206
2016,"Idaho",4.66721211445382
2016,"Illinois",6.30333943351489
2016,"Indiana",4.86701375455859
2016,"Iowa",3.77235452221357
2016,"Kansas",4.3762026569849
2016,"Kentucky",5.76786474673429
2016,"Louisiana",7.01228903847661
2016,"Maine",4.40977032022744
2016,"Maryland",5.28219999713631
2016,"Massachusetts",5.27366048508953
2016,"Michigan",6.17693218851358
2016,"Minnesota",3.77559110046041
2016,"Mississippi",7.52167691511125
2016,"Missouri",4.80612179029504
2016,"Montana",4.94019809911001
2016,"Nebraska",3.73709313905341
2016,"Nevada",6.62245132038809
2016,"New Hampshire",3.93228523464669
2016,"New Jersey",5.8830479294138
2016,"New Mexico",7.60574451690309
2016,"New York",5.98148472535887
2016,"North Carolina",6.22174724818371
2016,"North Dakota",3.25502187690532
2016,"Ohio",5.63268830190728
2016,"Oklahoma",5.88067300331649
2016,"Oregon",5.79575638640316
2016,"Pennsylvania",5.77145035599465
2016,"Rhode Island",5.42284461561464
2016,"South Carolina",6.23642315131677
2016,"South Dakota",4.0224596394362
2016,"Tennessee",5.6222989503078
2016,"Texas",5.45401017008796
2016,"Utah",4.3248635256045
2016,"Vermont",3.65421301323629
2016,"Virginia",4.74312392187664
2016,"Washington",5.38525109567489
2016,"West Virginia",8.02541362349083
2016,"Wisconsin",4.11444015927531
2016,"Wyoming",5.82403965303594
2017,"Alabama",5.88081926686781
2017,"Alaska",6.81995632729442
2017,"Arizona",5.59099742244302
2017,"Arkansas",5.57072507574717
2017,"California",5.8937322640007
2017,"Colorado",4.20000768468813
2017,"Connecticut",6.1379252099852
2017,"Delaware",5.51872914594076
2017,"District of Columbia",5.89198639686626
2017,"Florida",5.50090366382715
2017,"Georgia",5.80155846641102
2017,"Hawaii",3.60316871393673
2017,"Idaho",4.16713244907581
2017,"Illinois",6.10529415579854
2017,"Indiana",4.76396921039632
2017,"Iowa",3.7237204424568
2017,"Kansas",4.39975742970614
2017,"Kentucky",5.47367299347022
2017,"Louisiana",6.59020120714213
2017,"Maine",4.2431613931465
2017,"Maryland",5.08098007654265
2017,"Massachusetts",4.47297115687496
2017,"Michigan",5.81407820186994
2017,"Minnesota",3.78908797819603
2017,"Mississippi",6.81696661229518
2017,"Missouri",4.5799618339223
2017,"Montana",3.20858585578029
2017,"Nebraska",3.37687015648073
2017,"Nevada",5.83258499416525
2017,"New Hampshire",4.0984058473268
2017,"New Jersey",5.22781512948846
2017,"New Mexico",6.48593831213168
2017,"New York",5.46028516068695
2017,"North Carolina",5.25603887282801
2017,"North Dakota",2.47902833242751
2017,"Ohio",5.10223145769113
2017,"Oklahoma",5.43248883282345
2017,"Oregon",5.11119138969366
2017,"Pennsylvania",5.33332658114094
2017,"Rhode Island",5.84108331739879
2017,"South Carolina",5.70078036441604
2017,"South Dakota",3.43771090661725
2017,"Tennessee",4.84751302753081
2017,"Texas",5.06593165247675
2017,"Utah",3.4670716112532
2017,"Vermont",4.29035536573473
2017,"Virginia",4.44367942132145
2017,"Washington",4.81269230839417
2017,"West Virginia",6.79084206441599
2017,"Wisconsin",3.39225076073813
2017,"Wyoming",4.99670004212007
2018,"Alabama",5.56549465129034
2018,"Alaska",6.91239879086087
2018,"Arizona",5.33695202952678
2018,"Arkansas",4.54279339748465
2018,"California",5.5111954144505
2018,"Colorado",3.91941929799921
2018,"Connecticut",5.44589122688242
2018,"Delaware",5.58035534588663
2018,"District of Columbia",7.65877687290131
2018,"Florida",5.23600709728263
2018,"Georgia",4.81122871226797
2018,"Hawaii",3.42677216599474
2018,"Idaho",4.38227582900803
2018,"Illinois",5.48875790879687
2018,"Indiana",4.50501035862034
2018,"Iowa",3.65988288942104
2018,"Kansas",3.87482782708906
2018,"Kentucky",4.90279439513097
2018,"Louisiana",6.22215766917749
2018,"Maine",3.83098583583025
2018,"Maryland",4.80039500003501
2018,"Massachusetts",4.75146775757897
2018,"Michigan",5.16876800144354
2018,"Minnesota",3.41242287828957
2018,"Mississippi",7.2954167081691
2018,"Missouri",4.23715065308718
2018,"Montana",3.60145564060735
2018,"Nebraska",3.0404410703461
2018,"Nevada",5.62993219998461
2018,"New Hampshire",3.3882880645826
2018,"New Jersey",4.73729040104127
2018,"New Mexico",5.96568958473136
2018,"New York",4.92772318919994
2018,"North Carolina",4.83950154889938
2018,"North Dakota",2.55341918453251
2018,"Ohio",4.97699685458797
2018,"Oklahoma",4.32259374562717
2018,"Oregon",4.65924624829948
2018,"Pennsylvania",4.85773143818936
2018,"Rhode Island",5.87637150581029
2018,"South Carolina",5.03814938047894
2018,"South Dakota",3.53003318324906
2018,"Tennessee",5.53758216667524
2018,"Texas",4.85371987076053
2018,"Utah",3.22173728949519
2018,"Vermont",3.43890653674798
2018,"Virginia",3.98208984972843
2018,"Washington",4.28354358648611
2018,"West Virginia",6.11105014398753
2018,"Wisconsin",2.95865230657635
2018,"Wyoming",3.52714264304378
2019,"Alabama",4.84589456310739
2019,"Alaska",5.57066275102477
2019,"Arizona",4.94924812083816
2019,"Arkansas",4.82188455743356
2019,"California",5.08230757011064
2019,"Colorado",3.6912329343522
2019,"Connecticut",5.47414017171089
2019,"Delaware",4.3232617990962
2019,"District of Columbia",6.45829260699262
2019,"Florida",4.53878642107873
2019,"Georgia",4.88898953931187
2019,"Hawaii",3.50865216786062
2019,"Idaho",3.546536351088
2019,"Illinois",4.71550440432134
2019,"Indiana",4.2458746395387
2019,"Iowa",3.76423497710025
2019,"Kansas",3.51444694827878
