"state","year","total","heroin_synthetic","prescription","avg_age","bachelors_pct","median_income","PDMP","unemp_rate","white_pct","personal_health_care"
"North Dakota",2018,4.99949347237188,1.71035303002196,3.15757482465592,37.7146578570329,20.2340026076305,71.756,1,2.55341918453251,85.7870978861352,10.269
"North Dakota",2017,4.76573121540708,2.11810276240315,3.44191698890511,37.7501671315461,21.6529673957794,66.5,1,2.47902833242751,86.7176423398152,9.961
"North Dakota",2016,7.25639618339948,3.29836190154522,4.08996875791607,37.5193369509719,20.6295113285388,67.95,1,3.25502187690532,86.8431156021548,9.682
"North Dakota",2015,4.75607291059772,1.32113136405492,3.4349415465428,37.4182537837152,20.9295996448804,65.659,1,3.01859454238107,88.3324437727234,9.357
"North Dakota",2014,4.59781306373921,1.62275755190796,3.11028530782358,37.3528794480461,18.317687245937,69.57,1,2.89972103949493,88.6755864240103,9.005
"North Dakota",2013,1.93532422901521,1.62275755190796,2.96459873698247,37.6266718090996,19.55396306019,68.91,1,2.34197738847611,88.7860402298612,8.712
"North Dakota",2012,1.69872894571305,1.62275755190796,2.81891216614136,38.078243009142,20.1281252322663,65.928,1,3.33762084137241,89.4994196916075,8.457
"North Dakota",2011,1.46213366241088,1.62275755190796,2.67322559530025,38.139595749285,17.798114432429,68.042,1,3.07172285956837,89.7684272705474,8.324
"North Dakota",2010,2.6762177906038,1.62275755190796,2.52753902445914,38.0149118086165,20.4022541175005,63.519,1,3.29393073270891,89.9903483919175,8.011
"North Dakota",2009,2.70689717399935,1.62275755190796,2.40613082133276,38.0253832454193,19.0112299101484,63.388,1,3.89567214700193,89.8706643332859,7.707
"North Dakota",2008,4.86640945665018,1.62275755190796,3.95395768352827,38.0900057834916,17.8706773856124,62.608,1,3.42762399230512,90.9906918521359,7.319
"North Dakota",2007,2.45089779449835,1.62275755190796,1.99135445802991,37.726940903371,18.3136240357034,61.835,1,3.61382396349348,90.4272996568785,6.992
"North Dakota",2006,2.30607390212273,1.62275755190796,1.99135445802991,38.0057716472155,18.3617014249835,55.293,0,3.13815718262482,90.1751466894807,6.556
"North Dakota",2005,2.16125000974712,1.62275755190796,1.99135445802991,38.0788197010609,18.2157043649356,58.678,0,3.43476967795878,90.5685896599862,6.175
"North Dakota",2004,2.01642611737151,1.62275755190796,1.99135445802991,38.0542619130018,17.0278058885567,56.392,0,4.47675292974399,91.7125232289799,5.839
"North Dakota",2003,1.565393532107,1.62275755190796,1.99135445802991,37.494087677025,17.4771352973232,59.673,0,4.14630441968713,92.1682238081794,5.499
"North Dakota",2002,2.19377969437515,1.62275755190796,1.99135445802991,37.2489459151652,16.6475759735844,54.67,0,4.30352565475134,91.8847348196216,5.298
"North Dakota",2001,2.19377969437515,1.62275755190796,1.99135445802991,37.7302408508284,16.3038869142246,54.907,0,3.67446795967694,92.1855685968896,4.797
"North Dakota",2000,2.19377969437515,1.62275755190796,1.99135445802991,36.7681195063526,15.4462387011833,56.791,0,3.89325231104195,91.1611404324252,4.383
"Ohio",2020,38.4325374274676,36.320201703261,4.44702257727707,39.9657510407521,22.2534193515734,63.198,1,6.33752313227885,78.080173630107,10.478
"Ohio",2019,30.3958388584237,28.0089998374554,4.36303907058713,39.7815463123765,21.1876021250567,68.527,1,4.61572375737365,80.9119778254956,10.173
"Ohio",2018,28.3931431457549,25.5529733583519,5.07295386725902,39.648442500506,20.8260069214596,66.5,1,4.97699685458797,81.0173317083912,9.627
"Ohio",2017,37.5602269533184,33.0485394955779,8.61166199158064,39.4711291029659,20.154376907228,67.076,1,5.10223145769113,81.2962078066088,9.4
"Ohio",2016,31.7537588985647,26.4672057630662,8.49809111520699,39.3522673156786,19.863000783598,60.951,1,5.63268830190728,81.6098380859647,9.062
"Ohio",2015,23.7483815064689,18.9608180120538,7.23300959587884,39.216117676933,19.0985896234039,60.955,1,6.38728439808501,81.9735060024938,8.754
"Ohio",2014,18.7594395559214,14.1364236469679,6.39114699353459,39.0551361922374,18.8658637971538,56.87,1,7.19134933462513,82.0906347443968,8.401
"Ohio",2013,14.640291326241,9.95608949694784,5.46202132124222,38.8908945684692,18.4830221018273,59.12,1,7.97835422814316,82.4774639765866,8.03
"Ohio",2012,12.1532627785754,7.15509269786408,5.2840272950328,38.7744259142558,17.8630527384905,52.461,1,9.01151219082555,82.6154116019049,7.854
"Ohio",2011,11.5461728681222,5.27503321581876,6.14987452090529,38.5250534194558,17.4530580510909,53.902,1,10.5640277338377,82.8505292053643,7.488
"Ohio",2010,10.3757602823178,4.71546666130398,5.52160342509308,38.328761890199,17.282910411781,57.143,1,11.4261996526754,82.9274624828214,7.397
"Ohio",2009,6.21048190563953,2.67154808231421,3.12258866763999,38.0813077072023,16.9872936402358,58.077,1,11.0904265126412,83.9260152244135,7.242
"Ohio",2008,7.49431782212172,3.01335838270711,3.63860853704403,37.8389721841804,16.9074283186966,59.205,1,7.07887081901109,84.0000400490688,6.816
"Ohio",2007,6.5649502263734,2.4172929310355,3.12161209439477,37.6982473144264,16.9612111084435,64.315,1,7.14952780852847,83.9694052028108,6.674
"Ohio",2006,5.87916973581102,2.14263074816224,2.74361254337847,37.4288964476931,15.9300317494171,61.83,1,7.15679683031462,84.0420975559692,6.397
"Ohio",2005,5.15557447580631,2.05874039981436,2.32044468792636,37.225848977889,16.2537670295755,61.474,0,7.37385463095177,84.2485454488361,6.113
"Ohio",2004,4.86367265265143,1.91228781136564,2.04326642858247,37.0275694665292,16.3501070643687,61.906,0,7.85337464986396,84.5520835505754,5.771
"Ohio",2003,3.48060672397249,1.25056975258308,1.85399152131198,36.7413056796724,15.8516903551749,64.265,0,7.91443569904747,84.9020928891356,5.419
"Ohio",2002,4.0235314351323,1.63045064691636,2.21776351435397,36.522215681522,15.0147426863706,64.462,0,7.61351446081295,84.9796389941624,5.037
"Ohio",2001,3.12626126200493,1.26455511721548,1.7651081844466,36.8059698242112,15.0697853634583,64.099,0,5.96454186491584,85.3635035195629,4.637
"Ohio",2000,2.37819669272113,0.995319356583289,1.36526106433991,36.1858480551128,14.5353733025502,67.781,0,5.02339414343835,86.2326778400579,4.208
"Oklahoma",2020,8.18934365425094,5.72751642076446,2.78839615221428,38.2433460114028,18.8274076053433,54.921,1,5.72322744473738,67.0282621888025,9.444
"Oklahoma",2019,6.9244884534155,3.71496278340175,3.15898195867496,38.055173768016,18.105439741661,62.946,1,4.43269016260265,72.3315384419042,8.923
"Oklahoma",2018,8.06476360225093,3.95629912563253,4.23526893577329,37.8772114380665,17.7657358627611,58.732,1,4.32259374562717,71.9001318512766,8.625
"Oklahoma",2017,10.2013196081065,4.12123136287595,6.20728674408476,37.7468770224561,17.43893963261,57.343,1,5.43248883282345,72.1257972801908,8.382
"Oklahoma",2016,11.520147131649,3.8230576764322,7.62062830168819,37.5897239777845,17.4089812800158,57.516,1,5.88067300331649,72.3812883245603,8.132
"Oklahoma",2015,11.4283143006306,3.42593762032328,7.64444289907955,37.5196505645894,17.2501583856982,53.837,1,5.44521697485927,72.6092196583369,7.902
"Oklahoma",2014,12.9962189770067,2.57861487639023,9.85030882781067,37.4087383069485,16.5811383089083,54.069,1,5.52516649965997,72.914126193802,7.658
"Oklahoma",2013,13.5304713486426,2.93463198156739,10.206286449168,37.2033837605257,16.3688837594869,53.777,1,6.22418093220135,73.2476870944754,7.316
"Oklahoma",2012,14.1028934523778,3.48640302819006,10.3281413015555,37.2611051111193,16.3234176186557,57.228,1,6.38464922597113,73.4492059913705,7.212
"Oklahoma",2011,12.9763671868818,2.61109827540915,9.83777431037993,37.1354714271999,16.1431546498122,58.498,1,7.46512252686142,73.4860113706736,6.937
"Oklahoma",2010,13.9416439570704,3.17219049883629,9.43660030746256,36.9987915044839,15.2941673742364,53.677,1,7.99939422790384,73.3735154991012,6.664
"Oklahoma",2009,15.6822786485373,4.76117207682864,9.76443764908925,36.7487202506069,15.1464992338048,58.075,1,6.63774089742199,75.4501566292836,6.514
"Oklahoma",2008,11.3383134694803,2.07142265307813,7.00467923475106,36.8598348708434,15.1880881658902,58.167,1,4.57165548335575,75.6679252825297,6.372
