"State","Year","Overdose_Rate","heroin_rate","other_rate"
"Iowa",2003,1.46159125139064,0.475866919057416,0.849762355459672
"Iowa",2002,1.39729823865445,0.511206672678457,0.852011121130762
"Iowa",2001,0.989086960184475,0.511206672678457,0.57980959734952
"Iowa",2000,0.649278753822202,0.511206672678457,0.341725659906422
"Kansas",2020,9.54078944884781,6.86387730132936,3.19170294511815
"Kansas",2019,6.8307089452081,3.87874427541968,2.84898915805162
"Kansas",2018,5.77021162594603,2.88510581297302,2.95379880851999
"Kansas",2017,5.45805995833338,1.88800816168765,3.15812274318661
"Kansas",2016,5.6409940669813,2.13257092776122,3.61161205507949
"Kansas",2015,5.73559721133203,2.02634871538078,3.22841998721683
"Kansas",2014,6.47378238655988,2.16940579975145,3.54680630753015
"Kansas",2013,5.90886457538934,1.83140247073471,3.45547635987681
"Kansas",2012,6.37581625174772,2.11372169215549,3.53441987868624
"Kansas",2011,4.56249185891243,1.11450182813128,2.99522366310281
"Kansas",2010,3.89048051990839,0.981382473490406,2.24315993940664
"Kansas",2009,5.64831341361469,1.69449402408441,2.68294887146698
"Kansas",2008,3.66799189195734,0.961512437697555,2.10108273422799
"Kansas",2007,4.59805624356766,0.754368602460319,2.44271737939532
"Kansas",2006,4.59656792008197,0.79625586017168,2.60592826965277
"Kansas",2005,4.07970133672143,0.728518095843112,2.14912838273718
"Kansas",2004,4.31543172785863,0.877714927700061,2.56000187245851
"Kansas",2003,2.86448348955786,0.367241473020238,1.79948321779917
"Kansas",2002,3.20614991146235,0.663341360992211,1.76891029597923
"Kansas",2001,1.73934797395567,0.444088844414213,0.99919989993198
"Kansas",2000,0.855521723184415,0.444088844414213,0.446359159922304
"Kentucky",2020,38.9524732922054,34.5077816722806,11.2792425530755
"Kentucky",2019,23.7931469022017,19.4508416350078,8.48316338281696
"Kentucky",2018,22.6479175329346,17.9706302163503,7.49708732562558
"Kentucky",2017,26.7164235734047,20.6098124709122,10.4396108921287
"Kentucky",2016,22.8083373939086,15.2581466558064,10.7280322129451
"Kentucky",2015,20.5871425950014,12.7680961209394,9.988492894611
"Kentucky",2014,17.265377231499,8.99521622166025,9.92419321180653
"Kentucky",2013,15.6758533841301,6.55246121136351,10.2382206427555
"Kentucky",2012,16.2769965859399,4.99952630059024,11.6883902552612
"Kentucky",2011,16.180874252407,3.1125868434616,13.1369474128453
"Kentucky",2010,14.379977540503,2.02794555058376,11.4532833936378
"Kentucky",2009,10.5395459980533,2.10790919961066,7.85254086448368
"Kentucky",2008,8.78812870669049,1.32870911480466,5.92091430105938
"Kentucky",2007,8.36334112658903,0.98668631268747,5.12137181347306
"Kentucky",2006,8.129428079329,1.30355260747258,4.74019129990029
"Kentucky",2005,7.02888201089142,0.741140620196034,3.89696519651463
"Kentucky",2004,5.71621385972025,0.795928512112947,2.87016645277093
"Kentucky",2003,5.87782384501976,0.728655848556168,2.91462339422467
"Kentucky",2002,4.52336562853388,0.904673125706776,2.61621687704392
"Kentucky",2001,3.66261468408596,0.540788745301283,2.6301998066926
"Kentucky",2000,2.32571430974902,0.540788745301283,1.88036476107368
"Louisiana",2020,20.9888752503058,17.329276488714,6.60880482240398
"Louisiana",2019,12.497865037685,9.44330938303569,4.58183348197403
"Louisiana",2018,9.97858788174536,7.44638708594762,3.54078924836126
"Louisiana",2017,9.32896956727884,6.27624039537753,4.16281250713816
"Louisiana",2016,7.66821041911149,4.69918187243601,3.46030665152106
"Louisiana",2015,6.33734727207174,3.51123294803975,3.25431346403684
"Louisiana",2014,5.72082872010867,2.94644185960484,3.01096248426772
"Louisiana",2013,5.83724464757095,3.15643599461244,2.91862232378547
"Louisiana",2012,3.91143383820528,1.56457353528211,2.28166973895308
"Louisiana",2011,2.64490355501268,0.808772161450159,1.72683785823142
"Louisiana",2010,2.86762259968959,0.816169509142422,1.85292537210712
"Louisiana",2009,2.91652417998917,0.690169844119575,1.98145535892394
"Louisiana",2008,3.17883589676764,0.56362338595171,1.7810498996074
"Louisiana",2007,5.21073658561,0.617060911453816,2.62822240063662
"Louisiana",2006,4.71800616594599,0.674000880849427,1.95227841349489
"Louisiana",2005,4.04227741472543,0.39330266737869,1.79171215139181
