"Year","State","WHITE_PCT"
2017,"Louisiana",61.7805779392712
2018,"Louisiana",61.6751194962723
2019,"Louisiana",61.8304446271442
2020,"Louisiana",58.6696611358278
2011,"Maine",95.0442256668484
2012,"Maine",95.3557499593738
2013,"Maine",94.7828129446466
2014,"Maine",94.4351844124717
2015,"Maine",94.5265577795698
2016,"Maine",94.4893610789205
2017,"Maine",94.4089670912721
2018,"Maine",94.2985824907875
2019,"Maine",94.1050965175136
2020,"Maine",91.6076893075723
2011,"Maryland",58.6086757194092
2012,"Maryland",58.2224542417168
2013,"Maryland",57.7454445357874
2014,"Maryland",57.5984031877347
2015,"Maryland",56.5963544558547
2016,"Maryland",56.4413681363768
2017,"Maryland",54.9100926823522
2018,"Maryland",54.8112289866911
2019,"Maryland",54.5121640576412
2020,"Maryland",50.406016192959
2011,"Massachusetts",80.487954828634
2012,"Massachusetts",80.149572443811
2013,"Massachusetts",79.6014507478457
2014,"Massachusetts",79.1679761995123
2015,"Massachusetts",79.0089282061079
2016,"Massachusetts",78.6560695020541
2017,"Massachusetts",78.5910240488852
2018,"Massachusetts",77.354558266013
2019,"Massachusetts",77.0286062987568
2020,"Massachusetts",71.6735798521154
2011,"Michigan",79.3708644844412
2012,"Michigan",79.2543730067507
2013,"Michigan",79.1061036890859
2014,"Michigan",78.8919479020779
2015,"Michigan",78.6312848598993
2016,"Michigan",78.4516684628788
2017,"Michigan",78.3650901884111
2018,"Michigan",78.2369497939908
2019,"Michigan",78.2734147490046
2020,"Michigan",74.5766223496545
2011,"Minnesota",85.5479497034628
2012,"Minnesota",85.4063075893744
2013,"Minnesota",84.6888963504404
2014,"Minnesota",84.6840296248625
2015,"Minnesota",84.0310048429811
2016,"Minnesota",83.1719732345499
2017,"Minnesota",82.6776716877613
2018,"Minnesota",82.4306264334109
2019,"Minnesota",82.0113971975476
2020,"Minnesota",78.3847383951687
2011,"Mississippi",59.4287013112588
2012,"Mississippi",59.1481664872094
2013,"Mississippi",58.9302244879743
2014,"Mississippi",58.8372584691319
2015,"Mississippi",58.7546907379627
2016,"Mississippi",58.5208212462434
2017,"Mississippi",58.0549244328273
2018,"Mississippi",58.1097126096172
2019,"Mississippi",58.0937647947062
2020,"Mississippi",56.8383728232401
2011,"Missouri",82.9363127814986
2012,"Missouri",82.6501480906305
2013,"Missouri",82.7125341093096
2014,"Missouri",82.3030881545566
2015,"Missouri",82.3154667115518
2016,"Missouri",82.1843426883309
2017,"Missouri",81.9569931097114
2018,"Missouri",82.2430339779043
2019,"Missouri",81.8403246441343
2020,"Missouri",77.8503359752958
2011,"Montana",89.372359619675
2012,"Montana",89.174255154252
2013,"Montana",88.8954997463466
2014,"Montana",89.314259085034
2015,"Montana",89.0960734750699
2016,"Montana",88.9263515328243
2017,"Montana",88.4595137711532
2018,"Montana",88.4405137884129
2019,"Montana",87.8721306014907
2020,"Montana",85.0569709695106
2011,"Nebraska",88.5957166914228
2012,"Nebraska",88.2262432465205
2013,"Nebraska",88.1977462328393
2014,"Nebraska",88.3105155824891
2015,"Nebraska",88.0083219508594
2016,"Nebraska",87.9844749873631
2017,"Nebraska",87.1973296890331
2018,"Nebraska",86.1083063628278
2019,"Nebraska",86.1337939049053
2020,"Nebraska",79.0367018823398
2011,"Nevada",71.5739086307091
2012,"Nevada",69.5998196402882
2013,"Nevada",68.5976239151066
2014,"Nevada",67.8150004631751
2015,"Nevada",67.6541634020503
2016,"Nevada",66.7907571891439
2017,"Nevada",64.4260131372541
2018,"Nevada",63.3149902847094
2019,"Nevada",64.5428673093181
2020,"Nevada",51.1788489497326
2011,"New Hampshire",94.3431695182955
2012,"New Hampshire",93.9373128858696
2013,"New Hampshire",93.5865032464172
2014,"New Hampshire",93.5544797948166
2015,"New Hampshire",93.7351947380446
2016,"New Hampshire",93.196167796393
2017,"New Hampshire",93.025964499421
2018,"New Hampshire",92.4788227748247
2019,"New Hampshire",92.5860715990383
2020,"New Hampshire",89.0794889277908
2011,"New Jersey",69.192118265692
2012,"New Jersey",69.0740350089513
2013,"New Jersey",68.1705012023927
2014,"New Jersey",67.5279797050293
2015,"New Jersey",67.6707993167681
2016,"New Jersey",68.2100972120313
